Date,Weight
2025-10-03,228.8
2025-09-29,230.8
2025-09-22,235
2025-09-26,232.8
2025-09-16,235.2
2025-09-14,234.6
2025-09-11,235.6
2025-09-02,240.6
2025-09-01,243
2025-08-29,244.8
